CITY_DISTRICT_ID,SHIP_TO_CITY_CD,SHIP_TO_DISTRICT_NAME
1,厦门,集美区
2,宣城,宣州区
3,沈阳,和平区
4,合肥,瑶海区
5,扬州,广陵区
6,吉安,井冈山市
7,昆明,呈贡区
8,上海,普陀区
9,佛山,南海区
10,北京,丰台区
11,漳州,芗城区
12,成都,成华区
13,重庆,渝北区
14,蚌埠,淮上区
15,上海,浦东新区
16,北京,西城区
17,广州,天河区
18,镇江,丹阳市
19,钦州,钦南区
20,唐山,路北区
21,营口,鲅鱼圈区
22,苏州,昆山市
23,海口,龙华区
24,重庆,合川区
25,上海,徐汇区
26,湛江,坡头区
27,上海,黄浦区
28,徐州,泉山区
29,九江,共青城市
30,平顶山,汝州市
31,铜仁,碧江区
32,长沙,芙蓉区
33,常州,天宁区
34,唐山,丰润区
35,眉山,彭山区
36,湛江,徐闻县
37,成都,锦江区
38,温州,瑞安市
39,济南,历下区
40,哈尔滨,香坊区
41,贵阳,云岩区
42,西安,新城区
43,镇江,扬中市
44,衢州,江山市
45,哈尔滨,道外区
46,贺州,八步区
47,东营,东营区
48,玉林,北流市
49,秦皇岛,海港区
50,武汉,武昌区
51,长春,南关区
52,长春,朝阳区
53,西安,未央区
54,无锡,惠山区
55,武汉,汉阳区
56,杭州,上城区
57,连云港,海州区
58,苏州,吴江区
59,重庆,荣昌区
60,菏泽,成武县
61,松原,长岭县
62,金华,义乌市
63,大同,平城区
64,南通,崇川区
65,成都,邛崃市
66,石家庄,长安区
67,襄阳,樊城区
68,新乡,延津县
69,合肥,包河区
70,晋中,榆次区
71,郑州,新郑市
72,洛阳,西工区
73,成都,彭州市
74,武汉,洪山区
75,武汉,硚口区
76,北京,朝阳区
77,丹东,振兴区
78,郑州,二七区
79,台州,温岭市
80,杭州,萧山区
81,宣城,宁国市
82,青岛,城阳区
83,曲靖,陆良县
84,苏州,虎丘区
85,红河哈尼族彝族自治州,个旧市
86,深圳,龙华区
87,哈尔滨,道里区
88,淮北,相山区
89,杭州,江干区
90,北京,昌平区
91,南通,如东县
92,上海,嘉定区
93,嘉兴,南湖区
94,乌鲁木齐,新市区
95,天津,河北区
96,双鸭山,宝清县
97,深圳,罗湖区
98,南京,鼓楼区
99,惠州,惠城区
100,苏州,相城区
101,镇江,润州区
102,温州,乐清市
103,西安,碑林区
104,佳木斯,向阳区
105,西安,雁塔区
106,泸州,江阳区
107,阜阳,颍州区
108,深圳,南山区
109,平顶山,鲁山县
110,保定,莲池区
111,天津,北辰区
112,泉州,晋江市
113,合肥,肥西县
114,南充,顺庆区
115,蚌埠,禹会区
116,泰州,海陵区
117,泉州,泉港区
118,天津,南开区
119,汕头,潮南区
120,合肥,蜀山区
121,无锡,新吴区
122,厦门,思明区
123,锦州,太和区
124,淄博,周村区
125,泉州,鲤城区
126,哈尔滨,南岗区
127,南通,港闸区
128,天津,西青区
129,泰州,姜堰区
130,北京,房山区
131,泰州,兴化市
132,平顶山,叶县
133,新乡,辉县市
134,南昌,青山湖区
135,常州,钟楼区
136,南通,启东市
137,成都,新都区
138,廊坊,安次区
139,南京,建邺区
140,鹤岗,向阳区
141,洛阳,洛宁县
142,杭州,桐庐县
143,咸宁,咸安区
144,合肥,肥东县
145,宁波,江北区
146,新乡,获嘉县
147,凉山彝族自治州,会理县
148,无锡,滨湖区
149,常州,溧阳市
150,福州,连江县
151,廊坊,广阳区
152,扬州,邗江区
153,成都,金牛区
154,南京,江宁区
155,杭州,建德市
156,哈尔滨,松北区
157,吉林,桦甸市
158,宜昌,西陵区
159,武汉,江汉区
160,赣州,章贡区
161,池州,贵池区
162,武汉,江夏区
163,赣州,信丰县
164,泰州,高港区
165,绵阳,涪城区
166,济宁,兖州区
167,福州,晋安区
168,亳州,涡阳县
169,宁波,海曙区
170,西宁,城北区
171,连云港,东海县
172,葫芦岛,龙港区
173,文昌,文昌市
174,苏州,姑苏区
175,兴安盟,扎赉特旗
176,温州,鹿城区
177,东莞,东莞市
178,齐齐哈尔,建华区
179,黄冈,团风县
180,广州,海珠区
181,荆州,沙市区
182,抚州,东乡区
183,温州,瓯海区
184,揭阳,揭东区
185,齐齐哈尔,龙沙区
186,宣城,郎溪县
187,淮南,田家庵区
188,襄阳,宜城市
189,芜湖,弋江区
190,黄石,西塞山区
191,保定,高碑店市
192,枣庄,滕州市
193,镇江,京口区
194,南京,高淳区
195,金华,东阳市
196,淮安,淮阴区
197,徐州,铜山区
198,张家口,涿鹿县
199,南京,玄武区
200,临沂,兰山区
201,常州,金坛区
202,深圳,宝安区
203,绥化,绥棱县
204,南宁,西乡塘区
205,齐齐哈尔,富裕县
206,青岛,市北区
207,芜湖,镜湖区
208,盐城,盐都区
209,威海,乳山市
210,台州,椒江区
211,安阳,文峰区
212,景德镇,乐平市
213,长春,宽城区
214,北京,海淀区
215,安庆,桐城市
216,韶关,浈江区
217,南京,浦口区
218,汕头,潮阳区
219,佛山,禅城区
220,温州,永嘉县
221,成都,青羊区
222,佛山,顺德区
223,合肥,庐阳区
224,温州,苍南县
225,广州,白云区
226,宿迁,宿城区
227,湖州,吴兴区
228,达州,宣汉县
229,青岛,市南区
230,武汉,黄陂区
231,莆田,城厢区
232,江门,开平市
233,丹东,元宝区
234,襄阳,老河口市
235,呼和浩特,赛罕区
236,潍坊,奎文区
237,重庆,江北区
238,衡阳,蒸湘区
239,淮安,清江浦区
240,苏州,太仓市
241,中山,中山市
242,鞍山,铁东区
243,上海,松江区
244,贵阳,南明区
245,泰州,靖江市
246,南京,雨花台区
247,泰州,泰兴市
248,淮北,濉溪县
249,孝感,大悟县
250,深圳,龙岗区
251,太原,杏花岭区
252,上海,闵行区
253,银川,兴庆区
254,马鞍山,花山区
255,潍坊,寿光市
256,武汉,汉南区
257,南通,通州区
258,牡丹江,西安区
259,长沙,天心区
260,天津,河西区
261,泸州,龙马潭区
262,常州,新北区
263,无锡,宜兴市
264,安庆,宜秀区
265,烟台,龙口市
266,宜昌,伍家岗区
267,延边朝鲜族自治州,汪清县
268,淄博,张店区
269,绍兴,嵊州市
270,太原,万柏林区
271,无锡,江阴市
272,黄山,黄山区
273,河源,源城区
274,贵阳,观山湖区
275,汕头,龙湖区
276,萍乡,安源区
277,哈尔滨,呼兰区
278,南昌,东湖区
279,汕头,澄海区
280,太原,迎泽区
281,嘉兴,海盐县
282,武汉,青山区
283,重庆,巴南区
284,海口,美兰区
285,天津,滨海新区
286,沈阳,大东区
287,成都,武侯区
288,荆门,东宝区
289,武汉,蔡甸区
290,淄博,桓台县
291,厦门,翔安区
292,上海,虹口区
293,湖州,安吉县
294,常州,武进区
295,上海,杨浦区
296,上海,宝山区
297,太原,尖草坪区
298,徐州,沛县
299,陇南,武都区
300,重庆,渝中区
301,济南,天桥区
302,杭州,西湖区
303,烟台,莱州市
304,伊春,铁力市
305,玉溪,红塔区
306,茂名,高州市
307,郑州,管城回族区
308,宜昌,夷陵区
309,盐城,大丰区
310,沈阳,辽中区
311,梅州,兴宁市
312,保定,徐水区
313,哈尔滨,方正县
314,天津,东丽区
315,眉山,东坡区
316,石家庄,栾城区
317,衡水,阜城县
318,宿迁,沭阳县
319,武汉,江岸区
320,临汾,尧都区
321,贵阳,花溪区
322,潍坊,寒亭区
323,汉中,城固县
324,宝鸡,渭滨区
325,苏州,张家港市
326,盐城,亭湖区
327,柳州,城中区
328,呼和浩特,玉泉区
329,黔西南布依族苗族自治州,兴义市
330,柳州,鱼峰区
331,西安,莲湖区
332,呼和浩特,回民区
333,宁波,鄞州区
334,安庆,望江县
335,宁波,北仑区
336,黄石,黄石港区
337,仙桃,仙桃市
338,淮安,淮安区
339,唐山,遵化市
340,盐城,东台市
341,广州,越秀区
342,保定,容城县
343,延边朝鲜族自治州,珲春市
344,吉林,昌邑区
345,桂林,七星区
346,十堰,茅箭区
347,揭阳,榕城区
348,哈尔滨,尚志市
349,湖州,南浔区
350,汉中,汉台区
351,金华,金东区
352,铜仁,印江土家族苗族自治县
353,昆明,西山区
354,漳州,长泰县
355,内江,东兴区
356,深圳,福田区
357,宜昌,当阳市
358,大理白族自治州,宾川县
359,吉安,吉州区
360,焦作,解放区
361,上饶,广信区
362,长治,屯留区
363,宁波,余姚市
364,杭州,拱墅区
365,漳州,漳浦县
366,南京,栖霞区
367,百色,右江区
368,惠州,惠东县
369,成都,龙泉驿区
370,南昌,南昌县
371,广州,荔湾区
372,福州,仓山区
373,鹤岗,南山区
374,上海,长宁区
375,亳州,利辛县
376,玉林,容县
377,孝感,孝昌县
378,宁德,蕉城区
379,泰安,新泰市
380,延安,宝塔区
381,阜阳,临泉县
382,福州,闽侯县
383,太原,小店区
384,包头,昆都仑区
385,河源,龙川县
386,邯郸,丛台区
387,六安,裕安区
388,唐山,滦南县
389,上海,静安区
390,梅州,五华县
391,唐山,曹妃甸区
392,大连,甘井子区
393,南充,蓬安县
394,盘锦,双台子区
395,韶关,武江区
396,景德镇,珠山区
397,株洲,石峰区
398,潍坊,高密市
399,昆明,五华区
400,淮安,洪泽区
401,唐山,乐亭县
402,忻州,原平市
403,黄石,大冶市
404,蚌埠,龙子湖区
405,南平,建瓯市
406,天津,河东区
407,德州,平原县
408,保定,定兴县
409,榆林,神木市
410,西双版纳傣族自治州,景洪市
411,惠州,博罗县
412,辽阳,白塔区
413,柳州,柳北区
414,揭阳,惠来县
415,宜宾,翠屏区
416,渭南,大荔县
417,安庆,大观区
418,长春,绿园区
419,大庆,龙凤区
420,台州,临海市
421,秦皇岛,北戴河区
422,宿迁,泗洪县
423,阿勒泰地区,福海县
424,襄阳,襄州区
425,绵阳,江油市
426,伊春,乌翠区
427,徐州,云龙区
428,宝鸡,凤翔县
429,潮州,潮安区
430,乌鲁木齐,沙依巴克区
431,丽江,古城区
432,桂林,秀峰区
433,青岛,平度市
434,衡水,枣强县
435,台州,天台县
436,南京,秦淮区
437,遵义,汇川区
438,大兴安岭地区,加格达奇区
439,黄山,屯溪区
440,烟台,芝罘区
441,贵阳,修文县
442,成都,郫都区
443,阜阳,颍上县
444,曲靖,会泽县
445,襄阳,襄城区
446,甘孜藏族自治州,康定市
447,贵阳,乌当区
448,巴彦淖尔,临河区
449,晋城,城区
450,无锡,梁溪区
451,苏州,常熟市
452,洛阳,偃师市
453,遵义,绥阳县
454,西安,长安区
455,佳木斯,桦南县
456,信阳,平桥区
457,三门峡,渑池县
458,万宁,万宁市
459,阿坝藏族羌族自治州,茂县
460,遵义,红花岗区
461,泉州,丰泽区
462,台州,路桥区
463,南通,海门市
464,宁德,福安市
465,马鞍山,含山县
466,济宁,任城区
467,成都,简阳市
468,大连,金州区
469,锦州,古塔区
470,济宁,曲阜市
471,成都,温江区
472,南通,如皋市
473,淮北,杜集区
474,上饶,信州区
475,泉州,德化县
476,金华,浦江县
477,长治,潞州区
478,天津,武清区
479,鞍山,海城市
480,广州,黄埔区
481,武汉,东西湖区
482,陵水黎族自治县,陵水黎族自治县
483,毕节,织金县
484,上饶,广丰区
485,赣州,赣县区
486,随州,广水市
487,大庆,让胡路区
488,兰州,皋兰县
